Title,Author,Runtime,Release Date,Language
Love Off-Script,By: Tameka Sergeant,Length: 1 hr and 26 mins,Release date: 10-22-25,Language: English
The Sea Remembers Our Names,By: Twanica Janeen Peacock,Length: 1 hr and 35 mins,Release date: 11-11-25,Language: English
Bajo Los Berrinches: Una Guía Compasiva de Crianza Para Comprender y Apoyar las Grandes Emociones de Tu Hijo,By: Josephine Chavez,Length: 4 hrs and 34 mins,Release date: 01-05-26,Language: Spanish
Twelve Spokes of the Neighborhood,By: Nisha Fort,Length: 1 hr and 21 mins,Release date: 10-27-25,Language: English
The Cat Who Wanted to Be a Star,By: MICHELLE FRANCESCA PIZARRO,Length: 1 hr and 50 mins,Release date: 10-27-25,Language: English
We Meet in Other Years,By: Stephanie Keosha Baker,Length: 1 hr and 12 mins,Release date: 12-08-25,Language: English
Luxuries of Lust,By: Nik Knight,Length: 14 hrs and 54 mins,Release date: 01-06-26,Language: English
I Still Believe in Miracles,By: Lucas Jones,Length: 1 hr and 33 mins,Release date: 01-08-26,Language: English
Before the Streetlights Come On,By: Ashley Antoinette,Length: 11 hrs and 11 mins,Release date: 12-05-25,Language: English
Hearts Aligned,By: Gerald Sternberg,Length: 1 hr and 4 mins,Release date: 11-12-25,Language: English
No One Knew,By: Kendra Elliot,Length: 8 hrs and 48 mins,Release date: 01-06-26,Language: English
Childhood’s Eternal Light,By: Nino Shtromberg,Length: 1 hr and 47 mins,Release date: 11-03-25,Language: English
The Girl from My Last Class,By: Nikia J Carthens,Length: 1 hr and 7 mins,Release date: 11-04-25,Language: English
Just Breaking the Rules,By: Lauren Blakely,Length: 12 hrs and 16 mins,Release date: 01-21-26,Language: English
GED Exam Prep 2026-2027,By: Bill T Reese,Length: 7 hrs and 42 mins,Release date: 01-06-26,Language: English
Salt Letters to a Younger Me,By: James Joshua Charles,Length: 1 hr and 27 mins,Release date: 11-12-25,Language: English
The Ghost Who Loved in Silence,By: Jacob Varney,Length: 1 hr and 3 mins,Release date: 11-06-25,Language: English
The Goat in the Bedroom,By: Amy Award,Length: 9 hrs and 34 mins,Release date: 01-06-26,Language: English
Reborn in the Silence,By: Rachel August,Length: 59 mins,Release date: 11-03-25,Language: English
Blood for Blood,By: Angelo Migneco,Length: 1 hr and 1 min,Release date: 11-06-25,Language: English
Perespective,By: Chuck Pierce,Length: 6 hrs and 5 mins,Release date: 01-06-26,Language: English
The Clockmaker’s Promise,By: David Salazar,Length: 1 hr and 34 mins,Release date: 11-24-25,Language: English
The Serpent Throne,By: Chander Nigam,Length: 1 hr and 3 mins,Release date: 11-11-25,Language: English
Dear Debbie,By: Freida McFadden,Length: 7 hrs and 40 mins,Release date: 01-27-26,Language: English
Neighborly Love-Hate Relationship,By: Tina Bashline,Length: 1 hr and 40 mins,Release date: 10-14-25,Language: English
The Mismatched Matchmakers,By: Manju E George,Length: 2 hrs and 4 mins,Release date: 10-23-25,Language: English
The Moon’s Missing Shoes,By: Natasha T Nicholas,Length: 2 hrs and 40 mins,Release date: 10-29-25,Language: English
Almost Engaged,By: Alexis Howe,Length: 1 hr and 31 mins,Release date: 10-24-25,Language: English
The Voice of Knowledge,"By: Don Miguel Ruiz, Janet Mills",Length: 2 hrs and 50 mins,Release date: 01-06-26,Language: English
The City That Wove Its Own Shadow,By: Phaedra Quanette Holloway,Length: 1 hr and 15 mins,Release date: 11-18-25,Language: English
Magic and Bullets,By: Larry Correia,Length: 12 hrs and 4 mins,Release date: 05-05-26,Language: English
A Garden Made of Time,By: Phaedra Quanette Holloway,Length: 2 hrs and 13 mins,Release date: 11-05-25,Language: English
Love at First Spite,By: Alexandra Warren,Length: 7 hrs and 29 mins,Release date: 12-31-25,Language: English
He Who Fights with Monsters 6,"By: Shirtaloon, Travis Deverell",Length: 15 hrs and 49 mins,Release date: 06-28-22,Language: English
Murder in the Temple,By: Malory,Length: 10 hrs and 59 mins,Release date: 01-06-26,Language: English
The Murder at World's End,By: Ross Montgomery,Length: 9 hrs and 59 mins,Release date: 01-06-26,Language: English
Love at First Light,By: Christie Capps,Length: 3 hrs and 34 mins,Release date: 01-06-26,Language: English
The Distance Between Heartbeats,By: Terrie Annette Jezierski,Length: 1 hr and 39 mins,Release date: 11-07-25,Language: English
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins,Release date: 09-01-23,Language: English
Scandals & Stardust,By: Victoria A Chambers,Length: 1 hr and 8 mins,Release date: 09-16-25,Language: English
The Room Next Door,By: Wendy Walker,Length: 8 hrs and 46 mins,Release date: 10-09-25,Language: English
Ansel,By: Maya Alden,Length: 2 hrs and 49 mins,Release date: 01-06-26,Language: English
Catch Me,By: Tiffany Patterson,Length: 10 hrs and 42 mins,Release date: 01-02-26,Language: English
The Gate of the Feral Gods,By: Matt Dinniman,Length: 18 hrs and 3 mins,Release date: 09-16-21,Language: English
Scalpel of Betrayal,By: Ludger Duchette,Length: 1 hr and 14 mins,Release date: 09-10-25,Language: English
Dreaming in Color,By: Kaffe Fassett,Length: 9 hrs and 50 mins,Release date: 01-06-26,Language: English
Track of Courage,By: Susan May Warren,Length: 9 hrs and 57 mins,Release date: 01-06-26,Language: English
A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins,Release date: 05-02-17,Language: English
Lost and Found Love,By: Holly Zajac,Length: 1 hr and 17 mins,Release date: 08-15-25,Language: English
Cupid in Training,By: Lechisha Alford,Length: 1 hr and 39 mins,Release date: 09-19-25,Language: English
Left for Dead,By: Kevin O'Brien,Length: 14 hrs and 46 mins,Release date: 01-06-26,Language: English
A Nest of Lies,By: Lexi C. Foss,Length: 10 hrs,Release date: 01-02-26,Language: English
10-Minute Focus,By: Daniel Walter,Length: 6 hrs and 28 mins,Release date: 12-24-25,Language: English
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins,Release date: 05-26-22,Language: English
Scissors and Sparks,By: Toya M Turner,Length: 1 hr and 15 mins,Release date: 09-25-25,Language: English
The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins,Release date: 12-27-19,Language: English
Orchard of Unsent Goodbyes,By: Michael Dione Starling,Length: 1 hr and 59 mins,Release date: 11-12-25,Language: English
Shadows of Hood Avenue,By: Terrica L Hardnett,Length: 1 hr and 8 mins,Release date: 09-04-25,Language: English
Paquete de Dominio de IA para Principiantes (2 en 1),By: Constant Quinn,Length: 7 hrs and 6 mins,Release date: 01-02-26,Language: Spanish
Precious Hazard,By: Neva Altaj,Length: 14 hrs and 42 mins,Release date: 01-06-26,Language: English
He Who Fights with Monsters 4,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 20 mins,Release date: 12-28-21,Language: English
The Heiress’s Secret Bargain,By: Andre Walker,Length: 1 hr and 25 mins,Release date: 11-24-25,Language: English
Nightmare Realm Summoner 2,By: Actus,Length: 16 hrs and 10 mins,Release date: 12-31-25,Language: English
One Man's Laughter,By: Eric Ugland,Length: 14 hrs and 56 mins,Release date: 12-09-25,Language: English
Whispers on Ohio Street,By: Hossam Aboul-magd,Length: 1 hr and 5 mins,Release date: 11-21-25,Language: English
A Marriage of Misfires,By: Vanessa Dawn Jones,Length: 1 hr and 13 mins,Release date: 08-11-25,Language: English
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins,Release date: 02-09-16,Language: English
Ashes of the Imperium,By: Chris Wraight,Length: 15 hrs and 27 mins,Release date: 12-05-25,Language: English
Main Character Energy,By: Kendall Ryan,Length: 7 hrs and 39 mins,Release date: 12-29-25,Language: English
Now and Then,By: Kay Bratt,Length: 7 hrs and 21 mins,Release date: 01-06-26,Language: English
Remember That Day,By: Mary Balogh,Length: 11 hrs and 12 mins,Release date: 01-06-26,Language: English
The Ultimate Hockey Romance Collection,By: Kendall Ryan,Length: 24 hrs and 30 mins,Release date: 12-30-25,Language: English
What a Gentle Woman Will Do,By: Jennifer Jackson,Length: 1 hr and 26 mins,Release date: 08-29-25,Language: English
Rooms That Remember Light,By: Kimberly Schelle Gusby,Length: 1 hr and 33 mins,Release date: 11-07-25,Language: English
Return of the Runebound Professor 7,By: Actus,Length: 13 hrs and 20 mins,Release date: 01-27-26,Language: English
Under Southern Stars,By: Cari Blake,Length: 10 hrs and 5 mins,Release date: 01-05-26,Language: English
The Painter and the Dancer,By: Robert Franklin Eppes,Length: 1 hr and 23 mins,Release date: 11-26-25,Language: English
He Who Fights with Monsters 3,"By: Shirtaloon, Travis Deverell",Length: 24 hrs and 39 mins,Release date: 09-07-21,Language: English
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins,Release date: 11-07-23,Language: English
Storm Over Camelot,By: Sophie Keetch,Length: 20 hrs and 26 mins,Release date: 11-20-25,Language: English
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins,Release date: 01-06-15,Language: English
Le Fay,By: Sophie Keetch,Length: 13 hrs and 29 mins,Release date: 07-16-24,Language: English
Daughter of the Wrong Name,By: Tamarisk Booker,Length: 1 hr and 9 mins,Release date: 08-07-25,Language: English
"One Meal, Endless Possibilities",By: Renan Flukes,Length: 3 hrs and 1 min,Release date: 12-23-25,Language: English
Birds of a Feather,By: Ashley Antoinette,Length: 9 hrs and 28 mins,Release date: 12-15-25,Language: English
This Inevitable Ruin,By: Matt Dinniman,Length: 28 hrs and 40 mins,Release date: 02-11-25,Language: English
The White Mountain,By: Robert Goldsborough,Length: 4 hrs and 55 mins,Release date: 01-06-26,Language: English
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 1 min,Release date: 05-18-21,Language: English
Your Debt Plan,By: Rachel Rodgers,Length: 1 hr and 59 mins,Release date: 01-02-26,Language: English
Only on Gameday,By: Kristen Callihan,Length: 13 hrs and 28 mins,Release date: 01-06-26,Language: English
Mini Habits for Fitness,By: Stephen Guise,Length: 5 hrs and 55 mins,Release date: 01-02-26,Language: English
Your Perfect Portfolio,By: Cullen Roche,Length: 8 hrs and 37 mins,Release date: 01-06-26,Language: English
Game Changer,By: Rachel Reid,Length: 10 hrs and 15 mins,Release date: 10-08-19,Language: English
Sleigh Bells and Snowstorms,By: Claire Kingsley,Length: 7 hrs and 34 mins,Release date: 11-06-25,Language: English
House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins,Release date: 02-15-22,Language: English
"Blind Date, Wrong Person",By: Sarah Lorraine Rodriguez,Length: 1 hr and 24 mins,Release date: 08-27-25,Language: English
Belisarius Cawl: Archmagos,By: Guy Haley,Length: 10 hrs and 51 mins,Release date: 11-21-25,Language: English
Forbidden Hockey,By: S. Legend,Length: 13 hrs and 3 mins,Release date: 12-30-25,Language: English
To All The Thugs I Loved That Didn't Love Me Back 4,By: Jahquel J.,Length: 4 hrs and 49 mins,Release date: 01-06-26,Language: English
Dr. Sebi Natural Healing Almanac,By: Maya Brooks,Length: 10 hrs and 53 mins,Release date: 01-05-26,Language: English
Echoes and Oaths,By: Kris Michaels,Length: 8 hrs,Release date: 12-30-25,Language: English
The Legend of Randidly Ghosthound 12,"By: Noret Flood, puddles4263",Length: 28 hrs and 30 mins,Release date: 12-09-25,Language: English
The Filth Kings II,By: Authoress Masterpiece,Length: 8 hrs and 38 mins,Release date: 01-06-26,Language: English
The Dungeon Anarchist's Cookbook,By: Matt Dinniman,Length: 16 hrs and 54 mins,Release date: 05-14-21,Language: English
Paths of Akashic 5: The Expanse,By: Bainin,Length: 13 hrs and 39 mins,Release date: 01-01-26,Language: English
Paths of Akashic 5: The Expanse,By: Bainin,Length: 13 hrs and 39 mins,Release date: 01-01-26,Language: English
Return of the S-Rank Hunter,By: Lanaeus,Length: 11 hrs and 35 mins,Release date: 01-06-26,Language: English
Her Last Christmas,By: Claire McGowan,Length: 5 hrs and 10 mins,Release date: 11-10-25,Language: English
The AI Business Guide,By: Sigmund Lemon,Length: 3 hrs and 44 mins,Release date: 12-31-25,Language: English
The Path of Ascension 10,By: C. Mantis,Length: 24 hrs and 50 mins,Release date: 10-28-25,Language: English
Shattered Vows Unraveled,By: Tanya Ali,Length: 1 hr and 5 mins,Release date: 08-06-25,Language: English
The Complete Sunset on America Series,By: Ryan Schow,Length: 58 hrs and 45 mins,Release date: 11-13-25,Language: English
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins,Release date: 03-09-21,Language: English
Forgive & Forget,"By: Swantje Oppermann, Catherine Venner - translator",Length: 7 hrs and 31 mins,Release date: 12-18-25,Language: English
Ready for Love,By: Brenda Jackson,Length: 2 hrs and 21 mins,Release date: 01-06-26,Language: English
Cap Tyler,By: C.J. Petit,Length: 11 hrs and 44 mins,Release date: 01-02-26,Language: English
Dungeon Diving 301,By: Bruce Sentar,Length: 12 hrs and 18 mins,Release date: 12-09-25,Language: English
House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins,Release date: 03-03-20,Language: English
A Very Inconvenient Christmas,By: Becky Monson,Length: 4 hrs and 43 mins,Release date: 12-05-25,Language: English
A Place Beyond Goodbye,By: John Phillips,Length: 1 hr and 30 mins,Release date: 05-29-25,Language: English
Ashes of Defiance,By: Reginald Jackson,Length: 1 hr and 19 mins,Release date: 07-09-25,Language: English
The Gallery of Salt-Lit Rooms,By: Rachel Ann Hall,Length: 1 hr and 35 mins,Release date: 11-26-25,Language: English
I Love EPCOT,"By: Danielle Kelly, Ian Wilson",Length: 5 hrs and 8 mins,Release date: 01-06-26,Language: English
The Fractured Vow,By: Reginald Jackson,Length: 1 hr and 1 min,Release date: 11-04-25,Language: English
